REGISTRO_OPERADORA;CNPJ;Razao_Social;Nome_Fantasia;Modalidade;Logradouro;Numero;Complemento;Bairro;Cidade;UF;CEP;DDD;Telefone;Fax;Endereco_eletronico;Representante;Cargo_Representante;Regiao_de_Comercializacao;Data_Registro_ANS
421421;27452545000195;2CARE OPERADORA DE SAÚDE LTDA.;;Medicina de Grupo;RUA: BERNARDINO DE CAMPOS;230;1º ANDAR;CENTRO;Campinas;SP;13010151;19;37901224;;ans.plano@hospitalcare.com.br;RODRIGO PINHO RIBEIRO;REPRESENTANTE;5;2018-10-09
314668;17505793000101;ABERTTA SAÚDE - ASSOCIAÇÃO BENEFICENTE DOS EMPREGADOS DA ARCELORMITTAL NO BRASIL;ABERTTA SAÚDE;Autogestão;AV. BERNARDO MONTEIRO;831;Subsolo, 2º andar e 3º andar;SANTA EFIGÊNIA;Belo Horizonte;MG;30150281;31;32484300;32484377;abertta.ans@arcelormittal.com.br;WERNER DUARTE DALLA;Diretor Presidente;4;1998-12-28
335657;02041808000142;ADVANCE PLANOS DE SAÚDE LTDA;;Medicina de Grupo;RUA DOS BURITIS;128;SALA 202 - CENTRO EMPRESARIAL ZONA SUL;JABAQUARA;São Paulo;SP;04321000;;;;administrativo@advanceplano.com.br;JOSÉ JAIR JAMES DE ARRUDA PINTO;ADMINISTRADOR;4;1998-12-28
413283;03694367000140;AESP ODONTO ASSISTÊNCIA ODONTOLÓGICA S/S LTDA EPP;;Odontologia de Grupo;ALAMEDA GRAJAÚ;60;SALA 2814;ALPHAVILLE INDUSTRIAL;Barueri;SP;06454050;01;168135656;168135656;aespodonto@aespodonto.com.br;CARLOS EUGENIO PORTO BRAGA;ADMINISTRADOR;4;2001-03-07
417424;11158465000191;AFFIX ADMINISTRADORA DE BENEFÍCIOS LTDA;AFFIX BENEFÍCIOS;Administradora de Benefícios;Alameda Santos;2441;Conjuntos 41 e 42, 4º andar, Sala admini;Cerqueira César;São Paulo;SP;01419101;11;39952217;;pedro.rezende@affixbeneficios.com.br;PEDRO AUGUSTO BARQUETE DE REZENDE;SóCIO ADMINISTRADOR;1;2010-07-16
368920;20320487000105;AGROS - INSTITUTO UFV DE SEGURIDADE SOCIAL;;Autogestão;AVENIDA PURDUE;S/N;;CAMPUS DA UFV;Viçosa;MG;36570900;31;38996550;38996550;institucional@agros.org.br;CLAUDIO FURTADO SOARES;DIRETOR PRESIDENTE;4;1998-12-18
421928;34266553000102;ALICE OPERADORA LTDA.;ALICE;Medicina de Grupo;Avenida Rebouças ;3535;;Pinheiros;São Paulo;SP;05401400;11;41186896;;regulatorio@alice.com.br;MATHEUS HERMSDORFF MORAES;Diretor;4;2019-11-01
000515;04439627000102;ALLIANZ SAÚDE S/A;;Seguradora Especializada em Saúde;RUA EUGÊNIO DE MEDEIROS;303;7º ANDAR - PARTE;PINHEIROS;São Paulo;SP;05425000;11;40015060;;compliance@allianz.com.br;SHEILA AMENDOLA PANICA;DIRETORA;4;2001-08-06
423262;45568546000181;ALMA ODONTO OPERADORA DE PLANOS ODONTOLOGICOS LTDA;ALMA ODONTO;Odontologia de Grupo;RUA REGENTE FEIJO;712.0;SALA 93 EDIF JOAO PUPO;CENTRO;Campinas;SP;13013050;19;31994536;;financeiro@almaodonto.com.br;RONYSON RODRIGUES RAMOS DE OLIVEIRA;SÓCIO ADMINISTRADOR;;2022-05-30
344800;62511019000150;ALVORECER - ASSOCIAÇÃO DE SOCORROS MÚTUOS;ALVORECER;Medicina de Grupo;ALAMEDA SANTOS;1827;11 ANDAR SALA 111;CERQUEIRA CESAR;São Paulo;SP;01419909;;;;regulatorio@bluemedsaude.com.br;RICARDO GUIMARÃES DE QUEIROZ;DIRETOR PRESIDENTE;4;1999-01-15
419052;16926969000128;AMAZÔNIA PLANOS DE SAÚDE LTDA;PLANO AMAZÔNIA SAÚDE;Medicina de Grupo;TRAVESSA NOVE DE JANEIRO;1295;;SÃO BRAZ;Belém;PA;66060575;91;31847650;32495686;amasaude@amazoniaplanos.com.br;GILBERTO OSAMU YAMAMOTO;REPRESENTANTE LEGAL;6;2013-10-03
423351;46614535000153;AME VVIDA PLANOS DE SAUDE INTEGRADO LTDA.;VIVA VIDA;Medicina de Grupo;AVENIDA CALAMA;2715;SALA 2715C;LIBERDADE ;Porto Velho;RO;76803883;69;93324444;;financeiro@operadoravivavida.com.br;ROMILDA VIANA DE PAES;SOCIO - ADMINISTRADOR;;2022-10-03
304531;17143876000190;AME-ASSISTÊNCIA MÉDICA A EMPRESAS LTDA;AME-SISTEMA DE SAÚDE 24 HORAS;Medicina de Grupo;RUA SAMPAIO;376;;CENTRO;Juiz de Fora;MG;36010360;32;21015600;32155201;amesaude24h@terra.com.br;REGINA MARIA AGUIAR DE SOUZA FELLET;DIRETORA ADMINISTRATIVA E FINANCEIRA;6;1998-12-22
413330;04257073000114;AMEP FREGUESIA OPERADORA DE PLANO DE SAUDE LTDA;AMEP FREGUESIA OPERADORA DE PLANOS DE SAUDE LTDA;Medicina de Grupo;RUA ARAGUAIA;13;;JACAREPAGUA;Rio de Janeiro;RJ;22745270;21;39104000;;amep.operadora@uol.com.br;ANA MARLI VIDEIRA PEIXOTO FAZZINI;SOCIA GERENTE;4;2001-03-16
394734;67839969000121;AMEPLAN ASSISTÊNCIA MÉDICA PLANEJADA LTDA;AMEPLAN ASSITENCIA MÉDICA PLANEJADA  LTDA.;Medicina de Grupo;RUA UBATU MIRIM;45;3º ANDAR;VILA GEA;São Paulo;SP;04692010;11;33219700;;diretoria.financeira@ameplansaude.com.br;ALI HUSSEIN  IBRAHIN TAHA;SÓCIO DIRETOR;2;1998-12-24
401081;68668045000172;AMESC - ASSOCIAÇÃO MÉDICA ESPÍRITA CRISTÃ;GRUPO CEMERU SAÚDE;Medicina de Grupo;RUA VIÚVA DANTAS;720;;CAMPO GRANDE;Rio de Janeiro;RJ;23052090;21;24140013;;relacionamento.ans@cemeru.com;MAURO GOMES DIAS ;REPRESENTANTE;4;1999-02-24
418587;15131148000132;AMHA SAUDE S/A;AMHA SAUDE S/A;Medicina de Grupo;RUA DOUTOR LUIZ ALBERTO VIEIRA DOS SANTO;141;1º ANDAR;VILA SANTISTA;Atibaia;SP;12941030;;;;protocolodejur@amha.com.br;JOSE JAIR JAMES DE ARRUDA PINTO;DIRETOR ;5;2012-10-08
421731;29174910000172;AMHE MED ASSISTENCIA A SAUDE LTDA - EPP;AMHE MED;Medicina de Grupo;RUA PEDRO JOSÉ SENGER;230;;VILA HARO;Sorocaba;SP;18015000;15;30351030;;juridico@amhemed.com.br;MARCIO ALVES;Representante Perante ANS;6;2019-06-13
326305;29309127000179;AMIL ASSISTÊNCIA MÉDICA INTERNACIONAL S.A.;AMIL;Medicina de Grupo;Avenida Doutor Chucri Zaidan ;S/ Nº;6º, 7º, 8º ,9º, 16º, 20º e 23º  andares ;VILA FRANCISCO;São Paulo;SP;04711130;21;38054491;38051088;representanteans@amil.com.br;ALEXANDRE GINO CAMARGO ZORNIG;REPRESENTANTE LEGAL;1;1998-12-17
325465;20946877000187;AMPARA ASSISTÊNCIA MÉDICA PARAÍSO LTDA;AMPARA ;Medicina de Grupo;PÇ COMENDADOR JOÃO PIO FIGUEIREDO WESTIN;107;;MOCOQUINHA;São Sebastião do Paraíso;MG;37957148;35;35393636;35393600;ampara@ampara.com.br;FLAVIO BERNARDES GONCALVES;DIRETOR PRESIDENTE;5;1998-12-21
422720;41077489000187;AMPLA PLANOS DE SAUDE LTDA;AMPLA  ;Medicina de Grupo;Av. Nilo Peçanha;50;Grupo 2501;CENTRO;Rio de Janeiro;RJ;20020906;21;39235406;;sidney.junior@amplasaude.com;SIDNEY STORCH DUTRA JUNIOR;SOCIO - ADMINISTRADOR;4;2021-04-06
423858;43047552000168;AMPLITUDE PLANOS DE SAUDE LTDA ;ON MED SAÚDE VYDA;Medicina de Grupo;RUA ITUIUTABA;340;2º ANDAR, SALA 218-PARTE;PRADO;Belo Horizonte;MG;30411023;31;39235406;;amaral.diego@gmail.com;KLEBER SHIMOMUKAY;SOCIO ADMINISTRADOR ;6;2023-11-14
423319;45981176000100;ANAFE SAUDE;ANAFE SAUDE;Autogestão;QUADRA 02 LOTE 03 1º ANDAR PARTE ;9.0;JARDIM DA BARRAGEM I;JARDIM DA BARRAGEM I;Águas Lindas de Goiás;GO;72920004;;;;financeiro@anafesaude.com.br;FLAVIO MURILO PINTO SIVINI;DIRETOR- PRESIDENTE;;2022-08-26
421871;03013779000178;ANGELI SISTEMAS DE SAUDE S.A.;;Medicina de Grupo;RODOVIA DO CAQUI;1150;SALA PRÓXIMA AO PRONTO SOCORRO;ARAÇATUBA;Campina Grande do Sul;PR;83430000;41;35154099;;atendimento@planodesaudeangeli.com.br;PEDRO ERNESTO CARON;Presidente;5;2021-07-29
422941;41715325000138;ARL ADMINISTRADORA DE BENEFÍCIOS LTDA.;ARL ADMINISTRADORA DE BENEFÍCIOS;Administradora de Benefícios;Rua Visconde de Taunay;601.0;;Bom Retiro;São Paulo;SP;01132000;11;32252193;;paralegalarl@gmail.com;ALVARO ANTÔNIO REGIS LEMOS;Presidente;2;2021-08-11
423912;53249803000140;ASSISTÊNCIA MÉDICA 12 DE OUTUBRO LTDA;;Medicina de Grupo;Rua Presidente Prudente;267;2º andar;Jardim São Paulo;Guarulhos;SP;07110140;11;49665132;;administrativo@12deoutubrosaude.com.br;GISELE ENCARNAÇÃO GUERRERO;Administradora;6;2024-03-04
325236;66854779000110;ASSISTÊNCIA MÉDICA SÃO MIGUEL LTDA;SÃO MIGUEL SAÚDE;Medicina de Grupo;RUA ÁLVARO CORREA BORGES;43;ED. GILBERTO MAIDA MELLACE;VILA DR. EIRAS;São Paulo;SP;08010200;;;;saomiguelsaude@uol.com.br;CARLOS ALBERTO FERNANDES MELLACI;DIRETOR;4;1998-12-21
