REGISTRO_OPERADORA;CNPJ;Razao_Social;Nome_Fantasia;Modalidade;Logradouro;Numero;Complemento;Bairro;Cidade;UF;CEP;DDD;Telefone;Fax;Endereco_eletronico;Representante;Cargo_Representante;Regiao_de_Comercializacao;Data_Registro_ANS
419761;19541931000125;18 DE JULHO ADMINISTRADORA DE BENEFÍCIOS LTDA;;Administradora de Benefícios;RUA CAPITÃO MEDEIROS DE REZENDE;274;;PRAÇA DA BANDEIRA;Além Paraíba;MG;36660000;32;34624649;;contabilidade@cbnassessoria.com.br;LUIZ HENRIQUE MARENDINO GONÇALVES;SÓCIO ADMINISTRADOR;6;2015-05-19
421545;22869997000153;2B ODONTOLOGIA OPERADORA DE PLANOS ODONTOLÓGICOS LTDA;;Odontologia de Grupo;RUA CATÃO;128;SALA 126;VILA ROMANA;São Paulo;SP;05049000;11;34415852;;labmarisol@gmail.com;MARISOL BECHELLI;SÓCIO ADMINISTRADORA;4;2019-06-13
418030;13138885000131;A.P.S. ADMINISTRADORA DE BENEFÍCOS LTDA.;A.P.S. SAÚDE.;Administradora de Benefícios;RUA VOLUNTÁRIOS DA PÁTRIA;2525;CONJUNTO 143 - SALA 01;SANTANA;São Paulo;SP;02401000;11;45223468;;diretoria@apssaude.com.br;PERCÍVEL GAETA;SóCIO-ADMINISTRADOR E REPRESEN;4;2011-05-05
419621;17687511000126;ABPLUS ADMINISTRADORA DE BENEFÍCIOS LTDA.;;Administradora de Benefícios;AVENIDA JOSÉ DA SILVA NETO;200;BLOCO 4, SALA 403;BARRA DA TIJUCA;Rio de Janeiro;RJ;22775056;;;;contato@abplus.com.br;ROBERTO CARLOS MACHADO RODRIGUES;ADMINISTRADOR;6;2014-11-13
418901;10458298000131;AD SALUTE ADMINISTRADORA DE BENEFÍCIOS LTDA;AD SALUTE;Administradora de Benefícios;RUA BUENOS AIRES;68;SALA 2901;CENTRO;Rio de Janeiro;RJ;20070020;21;35531692;;LEONARDO@UNIMEDICASAUDE.COM;JOÃO CARMO DA SILVEIRA;ADMINISTRADOR;5;2013-06-13
424293;58280182000181;ADC ADMINISTRADORA DE BENEFICIOS LTDA;;Administradora de Benefícios;RUA VOLUNTÁRIOS DA PÁTRIA;1284;SALA 314;SANTANA;São Paulo;SP;02010200;;;;wesley@adcplasp.com.br;WESLEY LEME DE OLIVEIRA;ADMINISTRADOR;;2025-01-27
421553;28315826000169;ADM LIFE - ADMINISTRADORA DE BENEFÍCIOS LTDA.;ADM LIFE;Administradora de Benefícios;AVENIDA PEDROSO DE MORAIS;272;CJ 96;PINHEIROS;São Paulo;SP;05420000;11;99475503;;cristiane@admlife.com.br;NELITO JÚNIOR DE ALMEIDA SILVA;Sócio Administrador;4;2019-01-09
416932;07867825000157;ADMSERV BENEFÍCIOS E SERVIÇOS LTDA;GÉIA ADMINISTRADORA DE BENEFICIOS;Administradora de Benefícios;Avenida Valdemar Ferreira;463;;Butantã;São Paulo;SP;05501000;11;36602000;36602000;sandra@geia.com.br;PEDRO OLIVEIRA OBLIZINER;SÓCIO ADMINISTRADOR;2;2009-03-30
422347;37201454000130;ADRESS ADMINISTRADORA DE BENEFICIOS LTDA;ADRESS;Administradora de Benefícios;AVENIDA RIO BRANCO;125;15º ANDAR  SALA 1501;CENTRO;Rio de Janeiro;RJ;20040006;21;22524066;;contato@adress.com.br;LAIR ISABEL BOHRER DIEDAM;SÓCIA ADMINISTRADORA;6;2020-09-03
424285;57522360000170;AIRES OPERADORA DE SAUDE LTDA;AIRES OPERADORA DE SAUDE ;Medicina de Grupo;AVENIDA PRESIDENTE KENNEDY;1001.0;BLOCO D;PEIXINHOS;Olinda;PE;53230971;81;992463135;;jjppcc@gmail.com;JOSE PEREIRA DA COSTA;ADMINISTRADOR;;2024-12-16
417742;10387254000168;ALACORÔ CASF ASSOCIAÇÃO CLUBE DE BENEFICIOS PESSOAIS E EMPRESARIAIS;;Administradora de Benefícios;AVENIDA RIO BRANCO;131;10ª ANDAR - PARTE;CENTRO;Rio de Janeiro;RJ;21040006;21;25054500;;RODRIGO.PEIXOTO@ALACORO.COM.BR;ANADIA BIENHACHEWSKI FERREIRA ALVES;DIRETORA PRESIDENTE;6;2010-12-20
417289;07674593000110;ALL CARE ADMINISTRADORA DE BENEFÍCIOS SÃO PAULO LTDA;;Administradora de Benefícios;ALAMEDA SANTOS;1357;2º e 7º ANDAR;JARDIM PAULISTA;São Paulo;SP;01419908;11;30039499;;ans@allcare.com.br;FARIAS PEREIRA DE SOUZA;DIRETOR PRESIDENTE;1;2010-05-14
417459;11165556000154;ALLCARE ADMINISTRADORA DE BENEFÍCIOS EM SAÚDE LTDA.;ALLCARE ADMINISTRADORA DE BENEFÍCIOS EM SAÚDE;Administradora de Benefícios;SCS QD. 03 BLOCO A;LOTE;107/111;ASA SUL;Brasília;DF;70303907;61;30443600;30443615;ans@allcare.com.br;FARIAS PEREIRA DE SOUSA ;DIRETOR PRESIDENTE;1;2010-07-16
419982;20459346000160;ALPHA DENTAL PLANO DE SAUDE LTDA ME;DENTALMED;Odontologia de Grupo;RUA DAS GRAVIOLAS;383;SALA 02;SETOR COMERCIAL ;Sinop;MT;78550136;;;;financeiro@dentalmednorte.com.br;IVAN DALL` STELLA COSTA JÚNIOR;ADMINISTRADOR;5;2015-12-09
420255;22103116000199;ALTER ADMINISTRADORA DE BENEFICIOS S.A.;;Administradora de Benefícios;Alameda Santos;2441;4º andar, cjs 41 e 42, sala 01;Cerqueira César;São Paulo;SP;01419101;11;39952217;;dpo@alter.com.br;PEDRO AUGUSTO BARQUETE DE REZENDE;ADMINISTRADOR;5;2016-10-25
