CNPJ;RAZAOSOCIAL;TRIMESTRE;ANO;REGISTRO ANS;MODALIDADEE;UF;VALOR DESPESA
00006037000127;UNIMED DE TATUI - COOPERATIVA DE TRABALHO MÉDICO;1;2025;361941;Cooperativa Médica;SP;15229989.97
00006037000127;UNIMED DE TATUI - COOPERATIVA DE TRABALHO MÉDICO;2;2025;361941;Cooperativa Médica;SP;30927402.6
00006037000127;UNIMED DE TATUI - COOPERATIVA DE TRABALHO MÉDICO;3;2025;361941;Cooperativa Médica;SP;45510173.1
00012698000165;UNIMED DE PENAPOLIS - COOPERATIVA DE TRABALHO MEDICO;1;2025;323004;Cooperativa Médica;SP;3858624.77
00012698000165;UNIMED DE PENAPOLIS - COOPERATIVA DE TRABALHO MEDICO;2;2025;323004;Cooperativa Médica;SP;7884029.36
00012698000165;UNIMED DE PENAPOLIS - COOPERATIVA DE TRABALHO MEDICO;3;2025;323004;Cooperativa Médica;SP;12743440.690000001
00034259000153;ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA A SAÚDE DA BAIXADA SANTISTA;1;2025;410110;Autogestão;SP;7059988.16
00034259000153;ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA A SAÚDE DA BAIXADA SANTISTA;2;2025;410110;Autogestão;SP;14177098.68
00034259000153;ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA A SAÚDE DA BAIXADA SANTISTA;3;2025;410110;Autogestão;SP;20794536.71
00103956000119;UNIMED LITORAL SUL/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.;1;2025;300136;Cooperativa Médica;RS;26052175.31
00103956000119;UNIMED LITORAL SUL/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.;2;2025;300136;Cooperativa Médica;RS;52566837.96
00103956000119;UNIMED LITORAL SUL/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.;3;2025;300136;Cooperativa Médica;RS;78932793.13
00111826000128;UNIMED ARARUAMA COOPERATIVA DE TRABALHO MÉDICO LTDA;1;2025;335215;Cooperativa Médica;RJ;40792500.08
00111826000128;UNIMED ARARUAMA COOPERATIVA DE TRABALHO MÉDICO LTDA;2;2025;335215;Cooperativa Médica;RJ;81533608.84
00111826000128;UNIMED ARARUAMA COOPERATIVA DE TRABALHO MÉDICO LTDA;3;2025;335215;Cooperativa Médica;RJ;126052663.14
00147571000153;ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE BAURU;1;2025;406945;Autogestão;SP;14256439.54
